PM2.5 (µg/m³),CO (mg/m³),AT (°C),RH (%),WS (m/s),WD (deg),TOT-RF (mm),BP (mmHg),month,weekday,hour,season,AQI_PM_2_5,AQI_CO
95.9,1.41,15.85,95.55,0.27,118.63,0.0,1018.1,1,6,0,0,3,1
94.81,1.46,15.71,96.59,0.27,90.9,0.0,1018.2,1,6,0,0,3,1
94.12,1.47,15.66,97.1,0.25,74.32,0.0,1018.1,1,6,0,0,3,1
94.12,1.45,15.65,97.53,0.26,84.46,0.0,1018.3,1,6,0,0,3,1
94.12,1.44,15.66,97.77,0.23,89.09,0.0,1018.2,1,6,1,0,3,1
100.91,1.43,15.57,97.99,0.27,78.44,0.0,1018.1,1,6,1,0,3,1
105.23,1.41,15.48,98.24,0.23,55.19,0.0,1018.1,1,6,1,0,3,1
105.23,1.37,15.44,98.48,0.2,55.65,0.0,1018.0,1,6,1,0,3,1
105.23,1.34,15.43,98.55,0.14,63.55,0.0,1018.0,1,6,2,0,3,1
100.47,1.3,15.4,98.78,0.22,57.47,0.0,1017.9,1,6,2,0,3,1
97.45,1.27,15.36,99.12,0.17,31.01,0.0,1017.8,1,6,2,0,3,1
97.45,1.24,15.27,99.33,0.13,17.8,0.0,1017.7,1,6,2,0,3,1
97.45,1.21,15.14,99.34,0.16,87.42,0.0,1017.5,1,6,3,0,3,1
84.98,1.19,15.03,99.35,0.23,48.18,0.0,1017.5,1,6,3,0,2,1
77.04,1.17,14.99,99.35,0.19,64.76,0.0,1017.5,1,6,3,0,2,1
77.04,1.15,14.95,99.35,0.19,80.48,0.0,1017.6,1,6,3,0,2,1
77.04,1.14,14.9,99.35,0.25,70.6,0.0,1017.5,1,6,4,0,2,1
78.91,1.12,14.89,99.36,0.25,82.94,0.0,1017.7,1,6,4,0,2,1
80.11,1.11,14.95,99.36,0.14,24.87,0.0,1017.8,1,6,4,0,2,1
80.11,1.11,14.88,99.36,0.26,67.38,0.0,1017.9,1,6,4,0,2,1
80.11,1.11,14.81,99.37,0.46,83.43,0.0,1018.1,1,6,5,0,2,1
81.29,1.12,14.72,99.37,0.71,87.77,0.0,1018.2,1,6,5,0,2,1
82.04,1.1,14.68,99.37,0.49,73.71,0.0,1018.4,1,6,5,0,2,1
82.04,1.11,14.65,99.38,0.25,64.27,0.0,1018.6,1,6,5,0,2,1
82.04,1.1,14.71,99.38,0.27,55.86,0.0,1018.8,1,6,6,0,2,1
79.52,1.14,14.79,99.38,0.19,36.31,0.0,1019.0,1,6,6,0,2,1
77.91,1.13,14.82,99.39,0.26,24.26,0.0,1019.4,1,6,6,0,2,1
77.91,1.13,14.82,99.39,0.28,68.71,0.0,1019.6,1,6,6,0,2,1
77.91,1.12,14.89,99.38,0.23,57.22,0.0,1019.9,1,6,7,0,2,1
74.67,1.12,14.95,99.38,0.23,55.02,0.0,1020.1,1,6,7,0,2,1
72.6,1.12,15.12,99.38,0.21,44.41,0.0,1020.5,1,6,7,0,2,1
72.6,1.12,15.35,99.38,0.23,70.94,0.0,1020.8,1,6,7,0,2,1
72.6,1.13,15.65,99.37,0.51,90.81,0.0,1021.1,1,6,8,0,2,1
67.51,1.13,16.07,99.36,0.6,82.34,0.0,1021.3,1,6,8,0,2,1
64.27,1.14,16.52,98.84,0.45,88.42,0.0,1021.4,1,6,8,0,2,1
64.27,1.14,16.93,96.58,0.25,77.66,0.0,1021.6,1,6,8,0,2,1
64.27,1.12,17.12,94.22,0.66,85.86,0.0,1021.7,1,6,9,0,2,1
66.22,1.13,17.52,91.92,0.45,93.86,0.0,1021.6,1,6,9,0,2,1
67.47,1.12,17.97,88.93,0.29,71.59,0.0,1021.5,1,6,9,0,2,1
67.47,1.12,18.37,86.29,0.57,100.26,0.0,1021.4,1,6,9,0,2,1
67.47,1.1,18.32,86.1,0.84,96.05,0.0,1021.2,1,6,10,0,2,1
65.14,1.07,18.49,85.09,0.14,68.15,0.0,1021.0,1,6,10,0,2,1
63.66,1.06,18.89,82.03,1.02,98.58,0.0,1020.8,1,6,10,0,2,1
63.66,1.05,19.39,80.17,0.59,93.24,0.0,1020.6,1,6,10,0,2,1
63.66,1.05,19.05,84.48,1.04,103.78,0.0,1020.3,1,6,11,0,2,1
60.38,1.04,19.71,79.55,0.6,99.22,0.0,1020.1,1,6,11,0,2,1
58.28,1.01,20.33,76.18,0.27,101.58,0.0,1019.8,1,6,11,0,1,1
58.28,1.03,20.53,75.21,0.28,163.94,0.0,1019.5,1,6,11,0,1,1
58.28,0.98,20.97,73.81,0.15,111.02,0.2,1019.2,1,6,12,0,1,0
60.67,1.02,21.09,72.62,0.84,60.09,0.0,1018.9,1,6,12,0,2,1
62.19,1.01,21.25,72.67,0.96,29.27,0.0,1018.6,1,6,12,0,2,1
62.19,1.02,21.45,72.07,0.44,43.08,0.0,1018.4,1,6,12,0,2,1
62.19,1.02,21.44,72.6,0.71,23.45,0.0,1018.1,1,6,13,0,2,1
64.64,1.02,21.63,72.17,0.83,36.04,0.0,1017.9,1,6,13,0,2,1
66.2,1.02,21.82,71.19,0.65,30.29,0.0,1017.7,1,6,13,0,2,1
66.2,1.02,22.07,70.05,0.31,25.61,0.0,1017.6,1,6,13,0,2,1
66.2,1.02,22.07,70.48,0.31,20.0,0.0,1017.5,1,6,14,0,2,1
64.74,1.02,21.73,73.41,0.56,24.0,0.0,1017.4,1,6,14,0,2,1
63.81,1.02,21.01,76.79,0.46,32.27,0.0,1017.3,1,6,14,0,2,1
63.81,1.03,21.25,76.25,0.18,40.22,0.0,1017.2,1,6,14,0,2,1
63.81,1.04,21.31,75.35,0.24,25.32,0.0,1017.1,1,6,15,0,2,1
61.1,1.03,21.27,74.92,0.31,24.75,0.0,1017.1,1,6,15,0,2,1
59.38,1.03,20.58,81.91,0.19,12.1,0.2,1017.1,1,6,15,0,1,1
59.38,1.03,20.07,83.16,0.16,7.13,0.0,1017.2,1,6,15,0,1,1
59.38,1.01,19.82,84.28,0.2,9.48,0.0,1017.2,1,6,16,0,1,1
58.51,1.03,19.54,85.88,0.15,328.87,0.0,1017.2,1,6,16,0,1,1
57.95,1.03,19.37,86.53,0.17,33.92,0.0,1017.2,1,6,16,0,1,1
57.95,1.04,19.14,88.27,0.08,318.35,0.0,1017.3,1,6,16,0,1,1
57.95,1.06,18.9,89.3,0.1,0.96,0.0,1017.4,1,6,17,0,1,1
62.9,1.09,18.53,92.75,0.15,336.04,0.0,1017.7,1,6,17,0,2,1
66.05,1.1,18.24,93.38,0.22,8.51,0.0,1017.9,1,6,17,0,2,1
66.05,1.11,18.1,93.68,0.21,4.04,0.0,1018.2,1,6,17,0,2,1
66.05,0.99,17.84,95.74,0.18,27.03,0.0,1018.4,1,6,18,0,2,0
64.67,1.06,17.75,95.68,0.21,16.06,0.0,1018.6,1,6,18,0,2,1
63.8,1.07,17.7,94.75,0.15,28.81,0.0,1018.6,1,6,18,0,2,1
63.8,1.08,17.68,93.67,0.27,31.65,0.0,1018.7,1,6,18,0,2,1
63.8,1.09,17.56,94.0,0.26,27.24,0.0,1018.8,1,6,19,0,2,1
65.24,1.1,17.37,95.02,0.22,12.93,0.0,1019.0,1,6,19,0,2,1
66.16,1.11,17.09,96.53,0.28,11.47,0.0,1019.2,1,6,19,0,2,1
66.16,1.13,17.04,96.76,0.28,5.66,0.0,1019.3,1,6,19,0,2,1
66.16,1.14,16.99,97.29,0.23,349.01,0.0,1019.4,1,6,20,0,2,1
66.51,1.14,17.1,97.0,0.13,16.86,0.0,1019.6,1,6,20,0,2,1
66.73,1.14,17.23,95.81,0.22,19.08,0.0,1019.7,1,6,20,0,2,1
66.73,1.16,17.15,95.33,0.26,18.62,0.0,1019.8,1,6,20,0,2,1
66.73,1.17,16.97,95.9,0.29,24.05,0.0,1019.9,1,6,21,0,2,1
67.46,1.21,16.94,96.15,0.61,33.72,0.0,1019.9,1,6,21,0,2,1
67.92,1.2,17.06,95.59,0.28,70.54,0.0,1019.9,1,6,21,0,2,1
67.92,1.19,16.92,96.39,0.21,76.19,0.0,1019.9,1,6,21,0,2,1
67.92,1.2,16.83,97.04,0.21,41.38,0.0,1019.9,1,6,22,0,2,1
68.55,1.2,16.65,97.87,0.18,18.79,0.0,1019.7,1,6,22,0,2,1
68.95,1.19,16.49,98.07,0.21,37.78,0.0,1019.6,1,6,22,0,2,1
68.95,1.2,16.33,98.57,0.25,47.58,0.0,1019.4,1,6,22,0,2,1
68.95,1.19,16.19,99.19,0.22,54.89,0.0,1019.3,1,6,23,0,2,1
67.07,1.18,16.04,99.33,0.27,92.17,0.0,1019.2,1,6,23,0,2,1
65.88,1.18,15.92,99.34,0.28,114.64,0.0,1019.2,1,6,23,0,2,1
65.88,1.12,15.72,99.35,0.25,113.53,0.0,1019.1,1,0,0,0,2,1
61.02,1.15,15.55,99.36,0.29,122.69,0.0,1019.1,1,0,0,0,2,1
57.92,1.13,15.46,99.36,0.29,107.82,0.0,1019.0,1,0,0,0,1,1
57.92,1.12,15.42,99.36,0.28,113.93,0.0,1019.0,1,0,0,0,1,1
